iter	RMSE
0	1.020461937
1	0.9024844325
2	0.8333971503
3	0.7913150003
4	0.7599811235
5	0.738516232
6	0.7201330532
7	0.7083553218
8	0.6967092722
9	0.6858234393
10	0.6764367548
11	0.6681591471
12	0.6619436355
13	0.655636427
14	0.6481805409
15	0.6428241873
16	0.6360290688
17	0.6325035254
18	0.629028128
19	0.6259016227
20	0.6224253345
21	0.6171592066
22	0.614029614
23	0.6108437822
24	0.6072044617
25	0.6042316175
26	0.6011012109
27	0.5990247456
28	0.5967106209
29	0.5952442211
30	0.5932460202
31	0.5908899344
32	0.5890166215
33	0.5875958522
34	0.5859977576
35	0.5839827161
36	0.5827459368
37	0.5809350242
38	0.5796292606
39	0.5780598333
40	0.5767678053
41	0.5752989318
42	0.573763907
43	0.5725986074
44	0.5706658391
45	0.569659986
46	0.5686013285
47	0.5670834761
48	0.5662598661
49	0.5649881761
50	0.5635497484
51	0.5625829006
52	0.5610738735
53	0.5597337679
54	0.5589515115
55	0.557657027
56	0.5569138888
57	0.5559597848
58	0.5550024911
59	0.5540325062
60	0.5532320318
61	0.5524125299
62	0.5514445484
63	0.5506585888
64	0.5496532894
65	0.5486495404
66	0.5479736721
67	0.5472567651
68	0.5461813574
69	0.5454890471
70	0.5444425805
71	0.5436457585
72	0.5428894698
73	0.5423029109
74	0.5412957339
75	0.5406253288
76	0.5400308554
77	0.5392593841
78	0.5386287598
79	0.5381307646
80	0.5375510381
81	0.5369476846
82	0.5363302819
83	0.5356961213
84	0.5351251438
85	0.5345618339
86	0.5340026433
87	0.5334840194
88	0.5329259256
89	0.5324620867
90	0.531951193
91	0.5312975371
92	0.5306649094
93	0.5300776785
94	0.529652237
95	0.5291678183
96	0.5285380497
97	0.5280762956
98	0.5275375989
99	0.5271178144
100	0.5264826566
101	0.5259803136
102	0.5254832062
103	0.5250381111
104	0.524687998
105	0.5242099793
106	0.5238415794
107	0.5234905831
108	0.522772519
109	0.5224395056
110	0.5219744989
111	0.5216333647
112	0.5212942165
113	0.5209776226
114	0.5205822626
115	0.5200862945
116	0.5196023985
117	0.5191913898
118	0.5188653063
119	0.5183470551
120	0.5180372708
121	0.5176049893
122	0.5170582065
123	0.516590357
124	0.5161956287
125	0.515918714
126	0.5156397079
127	0.5153307157
128	0.5150589865
129	0.5145539539
130	0.5141926296
131	0.5138395494
132	0.5135707954
133	0.5132483837
134	0.5129878899
135	0.512733599
136	0.512274725
137	0.5120448876
138	0.5116825641
139	0.51133338
140	0.5111228228
141	0.5107116996
142	0.5103416072
143	0.5100948582
144	0.5097609383
145	0.5094952335
146	0.5092336861
147	0.5089579661
148	0.5087323592
149	0.5085685139
150	0.5081957629
151	0.5079819049
152	0.5076404285
153	0.5073595737
154	0.5070951326
155	0.5068658892
156	0.5065291656
157	0.5062170188
158	0.5059118122
159	0.5056986587
160	0.5054912318
161	0.5052708435
162	0.5050519857
163	0.5047824182
164	0.5045084258
165	0.5042248566
166	0.5040082062
167	0.5037225022
168	0.5034559162
169	0.5030912706
170	0.5028998356
171	0.5026317296
172	0.5024063914
173	0.502247289
174	0.5019832912
175	0.5017742014
176	0.5015306822
177	0.5010561841
178	0.5008302147
179	0.5006540955
180	0.5004459596
181	0.5002744518
182	0.5000841702
183	0.4999163128
184	0.4997266768
185	0.4994215667
186	0.4992146474
187	0.4990402537
188	0.4987316028
189	0.4983820637
190	0.4980697493
191	0.4978700303
192	0.4977423197
193	0.4975949961
194	0.4973353092
195	0.4971064542
196	0.4969114375
197	0.4967116096
198	0.4964766816
199	0.49630481
200	0.496078561
201	0.4959329328
202	0.4956518578
203	0.4954571009
204	0.4952981012
205	0.4951191993
206	0.4949401324
207	0.4947894763
208	0.494578428
209	0.4944292839
210	0.4942281461
211	0.4940747639
212	0.493791407
213	0.4935920759
214	0.4934329645
215	0.4931120804
216	0.4929437327
217	0.4927827022
218	0.4925605575
219	0.4924062364
220	0.4922560156
221	0.4918772603
222	0.4917370619
223	0.4915475821
224	0.4914241599
225	0.4913020643
226	0.4911205079
227	0.490971964
228	0.4908373659
229	0.4906768701
230	0.4905232754
231	0.4903725021
232	0.4902525587
233	0.4901204271
234	0.4899111093
235	0.4897609051
236	0.4895942483
237	0.4894686352
238	0.4892729575
239	0.4891464175
240	0.4889599253
241	0.4888439881
242	0.488673901
243	0.4885722768
244	0.4883952849
245	0.4882872964
246	0.4881075221
247	0.4879147198
248	0.487723001
249	0.4875774402
250	0.4874419465
251	0.4872293923
252	0.4871054357
253	0.4868907659
254	0.4867869512
255	0.4866676647
256	0.4865760805
257	0.486318056
258	0.4862044032
259	0.4860940727
260	0.4859780551
261	0.4857378506
262	0.4856147952
263	0.4854869493
264	0.4853500154
265	0.4852360083
266	0.4850487609
267	0.4849414323
268	0.4847947702
269	0.4846847974
270	0.4845697457
271	0.4844736865
272	0.4843422329
273	0.4842371198
274	0.4841364932
275	0.4840142213
276	0.4838881754
277	0.4837051189
278	0.4835122084
279	0.4833308455
280	0.4831249926
281	0.4829501374
282	0.4828558081
283	0.4827484176
284	0.4826390976
285	0.4824752348
286	0.4823741157
287	0.4822705681
288	0.4821368413
289	0.4820111434
290	0.481926133
291	0.4818273779
292	0.4816291077
293	0.4815174718
294	0.4813494837
295	0.4812285543
296	0.4811074445
297	0.4809392406
298	0.4808135948
299	0.4807286802
300	0.4805445521
301	0.4803593434
302	0.480271828
303	0.480158741
304	0.4800490696
305	0.4799121448
306	0.4797968901
307	0.4797008853
308	0.4795758001
309	0.4793885603
310	0.4792607764
311	0.4791104296
312	0.4789861138
313	0.4788872596
314	0.4787625767
315	0.478494983
316	0.4783409964
317	0.4782501743
318	0.4780829813
319	0.4779989936
320	0.4779137367
321	0.477784933
322	0.4777008329
323	0.4776004493
324	0.4775205704
325	0.4773591903
326	0.477207826
327	0.4771146814
328	0.4770162948
329	0.4769258021
330	0.4768550184
331	0.4766903362
332	0.4766017934
333	0.4765383532
334	0.4764094039
335	0.4762963316
336	0.476198507
337	0.4760850499
338	0.4759821411
339	0.4758976984
340	0.4757970338
341	0.4756813628
342	0.4755787421
343	0.4754863539
344	0.4754093368
345	0.4753205136
346	0.4752317826
347	0.4751537384
348	0.4750757462
349	0.4749739195
350	0.4748845101
351	0.4747955833
352	0.4747005939
353	0.4745508588
354	0.4744727685
355	0.4743616696
356	0.4741673366
357	0.4740761366
358	0.4739972112
359	0.4739210447
360	0.4738482902
361	0.4737541194
362	0.4736409116
363	0.4735443725
364	0.4733702693
365	0.47330081
366	0.4731763069
367	0.4730739255
368	0.4729225955
369	0.4728317661
370	0.472747653
371	0.4726461247
372	0.4725586813
373	0.4724911403
374	0.4724077794
375	0.4722955587
376	0.4722075947
377	0.4720370442
378	0.4719351527
379	0.4717960437
380	0.4717223453
381	0.4716427901
382	0.4715647271
383	0.4714828344
384	0.4713907045
385	0.4713054509
386	0.4712233117
387	0.471158452
388	0.4710573012
389	0.4709792112
390	0.4708804172
391	0.470778294
392	0.4707264158
393	0.4706156837
394	0.4705195445
395	0.470413178
396	0.4703277796
397	0.4702340719
398	0.4701340658
399	0.470060347
400	0.4699369131
401	0.4698440184
402	0.4697426799
403	0.4696380357
404	0.4695687842
405	0.4694711808
406	0.469384949
407	0.4692948423
408	0.4691513678
409	0.4690334828
410	0.468955722
411	0.4688570668
412	0.4687969187
413	0.4686688762
414	0.4685704905
415	0.4684582208
416	0.4683733651
417	0.4683179905
418	0.4681885127
419	0.4681024743
420	0.4680082709
421	0.4679016507
422	0.4678430796
423	0.4677411664
424	0.4676361076
425	0.4675552373
426	0.4674796937
427	0.4673994738
428	0.467335077
429	0.4672762242
430	0.4672201288
431	0.4671395531
432	0.4670761987
433	0.4669850076
434	0.4668617816
435	0.4667594751
436	0.4666724261
437	0.4666046647
438	0.4665186281
439	0.4664487756
440	0.4663482143
441	0.46628331
442	0.4662262208
443	0.4661611085
444	0.4660492685
445	0.4659877404
446	0.46590274
447	0.4658128441
448	0.465704471
449	0.4656354601
450	0.4655692686
451	0.465499854
452	0.4654287548
453	0.4653060187
454	0.4651823907
455	0.4651317471
456	0.4650600782
457	0.4649729414
458	0.4648947705
459	0.4647997001
460	0.4647184388
461	0.4646568051
462	0.4646115427
463	0.4645538804
464	0.4644820572
465	0.4644275253
466	0.4643691012
467	0.4642907516
468	0.4642121229
469	0.464112096
470	0.4640502628
471	0.4640002201
472	0.4639379543
473	0.4638757748
474	0.4638021939
475	0.4637358967
476	0.4636818966
477	0.4636229049
478	0.4635723115
479	0.4635036916
480	0.4634111177
481	0.463344595
482	0.4632467788
483	0.4631916725
484	0.4631205459
485	0.4630663421
486	0.4630005282
487	0.4629136626
488	0.4628432841
489	0.4627814141
490	0.4627167479
491	0.4626542379
492	0.4625720088
493	0.462468189
494	0.4624165907
495	0.4623575298
496	0.4623087913
497	0.4622557775
498	0.4621773472
499	0.4620945797
500	0.4620281486
501	0.4619652659
502	0.4619124397
503	0.4618666908
504	0.4617923973
505	0.461728869
506	0.4616442596
507	0.4615844073
508	0.4614530049
509	0.461384375
510	0.4613174436
511	0.4612292381
512	0.4611743756
513	0.4610939783
514	0.4610332364
515	0.4609838058
516	0.4609113867
517	0.4608280078
518	0.4607791617
519	0.4607104834
520	0.4606471103
521	0.4605650667
522	0.4605014853
523	0.4604429099
524	0.4603796023
525	0.4603018993
526	0.4602377201
527	0.4601725546
528	0.4601162623
529	0.4600651384
530	0.4599999189
531	0.4599403882
532	0.459878825
533	0.4598095454
