iter	Passed	Remaining
0	227	227537
1	291	145296
2	352	117095
3	406	101203
4	465	92699
5	520	86280
6	581	82441
7	637	79028
8	690	76048
9	741	73374
10	796	71600
11	852	70200
12	899	68282
13	951	67004
14	1036	68053
15	1098	67548
16	1159	67031
17	1247	68046
18	1305	67388
19	1367	67002
20	1420	66210
21	1474	65536
22	1523	64724
23	1580	64259
24	1634	63747
25	1685	63142
26	1743	62844
27	1796	62348
28	1854	62079
29	1904	61591
30	1967	61500
31	2030	61431
32	2093	61349
33	2146	60982
34	2197	60590
35	2247	60194
36	2299	59857
37	2351	59525
38	2404	59244
39	2459	59026
40	2510	58710
41	2566	58543
42	2628	58499
43	2678	58205
44	2740	58165
45	2793	57930
46	2852	57829
47	2900	57519
48	2945	57163
49	2998	56967
50	3048	56732
51	3097	56478
52	3149	56276
53	3199	56046
54	3241	55689
55	3291	55482
56	3340	55261
57	3386	55003
58	3435	54798
59	3484	54588
60	3531	54356
61	3587	54268
62	3636	54084
63	3683	53875
64	3735	53730
65	3784	53555
66	3831	53357
67	3875	53120
68	3925	52969
69	3973	52787
70	4024	52660
71	4073	52507
72	4117	52282
73	4164	52114
74	4216	52004
75	4267	51886
76	4320	51786
77	4370	51661
78	4421	51546
79	4471	51419
80	4518	51263
81	4572	51192
82	4623	51080
83	4669	50919
84	4717	50783
85	4768	50678
86	4821	50593
87	4866	50432
88	4915	50316
89	4960	50154
90	5007	50024
91	5059	49933
92	5104	49779
93	5159	49726
94	5216	49693
95	5268	49610
96	5329	49611
97	5375	49477
98	5421	49343
99	5467	49205
100	5514	49086
101	5573	49064
102	5621	48953
103	5668	48833
104	5718	48739
105	5766	48637
106	5815	48535
107	5861	48412
108	5919	48386
109	5963	48249
110	6014	48166
111	6061	48056
112	6108	47948
113	6153	47828
114	6203	47742
115	6253	47657
116	6308	47610
117	6358	47529
118	6407	47433
119	6457	47358
120	6505	47258
121	6568	47270
122	6620	47204
123	6670	47122
124	6721	47051
125	6766	46933
126	6817	46861
127	6865	46770
128	6910	46657
129	6961	46589
130	7008	46493
131	7056	46402
132	7097	46269
133	7144	46173
134	7190	46072
135	7238	45984
136	7297	45970
137	7345	45881
138	7397	45821
139	7441	45715
140	7486	45606
141	7536	45539
142	7589	45486
143	7632	45372
144	7680	45286
145	7723	45177
146	7765	45062
147	7818	45011
148	7863	44909
149	7906	44803
150	7956	44732
151	8002	44644
152	8060	44624
153	8109	44548
154	8157	44472
155	8208	44411
156	8259	44346
157	8313	44306
158	8365	44248
159	8423	44225
160	8477	44180
161	8532	44138
162	8590	44113
163	8635	44021
164	8686	43958
165	8740	43914
166	8793	43860
167	8844	43800
168	8898	43755
169	8950	43697
170	8996	43615
171	9044	43540
172	9091	43461
173	9133	43358
174	9183	43293
175	9228	43208
176	9281	43154
177	9334	43107
178	9384	43043
179	9429	42956
180	9478	42891
181	9529	42830
182	9579	42766
183	9622	42673
184	9666	42584
185	9716	42524
186	9760	42434
187	9811	42377
188	9861	42316
189	9911	42254
190	9958	42179
191	10009	42123
192	10056	42051
193	10103	41976
194	10157	41931
195	10207	41870
196	10255	41801
197	10312	41770
198	10363	41715
199	10411	41645
200	10463	41595
201	10513	41534
202	10573	41510
203	10619	41436
204	10666	41363
205	10713	41294
206	10761	41225
207	10813	41176
208	10866	41124
209	10911	41046
210	10957	40972
211	11004	40904
212	11060	40867
213	11109	40802
214	11156	40732
215	11207	40677
216	11251	40597
217	11301	40539
218	11350	40479
219	11395	40403
220	11441	40328
221	11494	40282
222	11552	40252
223	11612	40229
224	11663	40175
225	11714	40118
226	11767	40070
227	11816	40011
228	11863	39941
229	11909	39871
230	11963	39825
231	12007	39749
232	12059	39697
233	12106	39630
234	12157	39575
235	12206	39516
236	12261	39473
237	12318	39439
238	12370	39388
239	12418	39323
240	12467	39264
241	12518	39211
242	12581	39193
243	12625	39118
244	12682	39081
245	12729	39016
246	12787	38984
247	12835	38919
248	12878	38843
249	12926	38778
250	12982	38739
251	13038	38701
252	13082	38626
253	13133	38573
254	13185	38521
255	13229	38448
256	13280	38393
257	13333	38347
258	13381	38283
259	13430	38225
260	13519	38280
261	13566	38215
262	13612	38146
263	13657	38074
264	13707	38019
265	13756	37959
266	13810	37914
